a,b,both,n_a,n_b,applicable,jaccard,p_b_given_a,p_b,lift
BRAKE_FLUID_CHANGE,COOLANT_CHANGE,119,790,598,8042,0.0938,0.1506,0.0744,2.0257
CHAIN_CLEAN,REAR_TIRE_INSPECTION,118,7454,217,11668,0.0156,0.0158,0.0186,0.8512
CHAIN_LUBRICATE,STEERING_BEARING_INSPECTION,117,5969,178,11668,0.0194,0.0196,0.0153,1.2849
FRONT_TIRE_INSPECTION,FRONT_TIRE_CHANGE,116,1950,817,33545,0.0438,0.0595,0.0244,2.4425
CVT_ROLLER_INSPECTION,SPARK_PLUG_INSPECTION,116,2538,837,18363,0.0356,0.0457,0.0456,1.0027
FRONT_TIRE_CHANGE,WHEEL_BALANCE,115,817,276,33545,0.1176,0.1408,0.0082,17.1078
FRONT_TIRE_INSPECTION,WHEEL_BALANCE,115,1950,276,33545,0.0545,0.059,0.0082,7.1677
CHAIN_CLEAN,REAR_BRAKE_PAD_INSPECTION,115,7454,128,11668,0.0154,0.0154,0.011,1.4064
CHAIN_LUBRICATE,REAR_BRAKE_PAD_INSPECTION,114,5969,128,11668,0.0191,0.0191,0.011,1.741
AIR_FILTER_INSPECTION,REAR_TIRE_INSPECTION,113,11089,1114,33518,0.0093,0.0102,0.0332,0.3066
CVT_CASE_INSPECTION,WHEEL_BEARING_INSPECTION,113,3467,1063,18363,0.0256,0.0326,0.0579,0.563
AIR_FILTER_CHANGE,REAR_BRAKE_PAD_INSPECTION,111,9240,1007,33518,0.011,0.012,0.03,0.3999
ECU_DIAGNOSTIC_SCAN,VALVE_CLEARANCE_ADJUST,109,523,245,33518,0.1654,0.2084,0.0073,28.5126
ECU_DIAGNOSTIC_SCAN,WHEEL_BEARING_CHANGE,109,523,244,33545,0.1657,0.2084,0.0073,28.6525
ECU_DIAGNOSTIC_SCAN,STEERING_BEARING_CHANGE,108,523,250,33545,0.1624,0.2065,0.0075,27.7083
SPARK_PLUG_INSPECTION,FINAL_GEAR_OIL_CHANGE,108,837,1577,18363,0.0468,0.129,0.0859,1.5025
CVT_CASE_INSPECTION,SPARK_PLUG_CHANGE,104,3467,667,18363,0.0258,0.03,0.0363,0.8258
ECU_DIAGNOSTIC_SCAN,THROTTLE_BODY_CLEAN,104,523,233,33518,0.1595,0.1989,0.007,28.6058
FORK_INSPECTION,FINAL_GEAR_OIL_CHANGE,103,1964,1577,18363,0.03,0.0524,0.0859,0.6107
ECU_DIAGNOSTIC_SCAN,FUEL_INJECTOR_CLEAN,103,523,232,33518,0.158,0.1969,0.0069,28.4528
ECU_DIAGNOSTIC_SCAN,BRAKE_DISC_CHANGE,99,523,239,33545,0.1493,0.1893,0.0071,26.5683
REAR_TIRE_INSPECTION,REAR_BRAKE_PAD_INSPECTION,99,1121,1014,33545,0.0486,0.0883,0.0302,2.9216
ECU_DIAGNOSTIC_SCAN,BRAKE_SYSTEM_BLEED,99,523,235,33545,0.1502,0.1893,0.007,27.0205
BRAKE_FLUID_CHANGE,FRONT_BRAKE_PAD_INSPECTION,99,3639,2659,33545,0.016,0.0272,0.0793,0.3432
FORK_INSPECTION,REAR_TIRE_INSPECTION,98,3609,1121,33545,0.0212,0.0272,0.0334,0.8126
BATTERY_TEST,ENGINE_FAULT_DIAGNOSTIC,97,11153,250,33518,0.0086,0.0087,0.0075,1.1661
ECU_DIAGNOSTIC_SCAN,BATTERY_CHANGE,95,523,255,33545,0.1391,0.1816,0.0076,23.8951
AIR_FILTER_INSPECTION,ENGINE_FAULT_DIAGNOSTIC,95,11089,250,33518,0.0084,0.0086,0.0075,1.1486
FRONT_BRAKE_PAD_INSPECTION,WHEEL_BALANCE,94,2659,276,33545,0.0331,0.0354,0.0082,4.2966
AIR_FILTER_CHANGE,REAR_TIRE_INSPECTION,93,9240,1114,33518,0.0091,0.0101,0.0332,0.3028
BRAKE_FLUID_CHECK,REAR_TIRE_INSPECTION,92,9793,1121,33545,0.0085,0.0094,0.0334,0.2811
CVT_ROLLER_INSPECTION,COOLANT_CHANGE,90,926,571,6778,0.064,0.0972,0.0842,1.1537
GENERAL_SAFETY_INSPECTION,ENGINE_FAULT_DIAGNOSTIC,89,8898,250,33518,0.0098,0.01,0.0075,1.341
BRAKE_FLUID_CHECK,ENGINE_FAULT_DIAGNOSTIC,89,9793,250,33518,0.0089,0.0091,0.0075,1.2185
AIR_FILTER_INSPECTION,STEERING_BEARING_INSPECTION,87,11089,925,33518,0.0073,0.0078,0.0276,0.2843
CHAIN_INSPECTION,FRONT_TIRE_INSPECTION,84,3764,307,11668,0.0211,0.0223,0.0263,0.8482
FRONT_BRAKE_PAD_INSPECTION,REAR_TIRE_CHANGE,84,2659,236,33545,0.0299,0.0316,0.007,4.4903
AIR_FILTER_CHANGE,STEERING_BEARING_INSPECTION,82,9240,925,33518,0.0081,0.0089,0.0276,0.3216
FINAL_GEAR_OIL_CHANGE,COOLANT_CHANGE,81,494,571,6778,0.0823,0.164,0.0842,1.9464
FRONT_BRAKE_PAD_INSPECTION,SPARK_PLUG_INSPECTION,79,2649,2095,33518,0.0169,0.0298,0.0625,0.4771
SPARK_PLUG_INSPECTION,REAR_BRAKE_PAD_INSPECTION,78,2095,1007,33518,0.0258,0.0372,0.03,1.2393
FORK_INSPECTION,SPARK_PLUG_INSPECTION,77,3609,2095,33518,0.0137,0.0213,0.0625,0.3413
CVT_CASE_INSPECTION,COOLANT_CHANGE,76,1157,571,6778,0.046,0.0657,0.0842,0.7797
FRONT_TIRE_CHANGE,REAR_TIRE_CHANGE,75,817,236,33545,0.0767,0.0918,0.007,13.0483
FRONT_TIRE_INSPECTION,REAR_TIRE_CHANGE,75,1950,236,33545,0.0355,0.0385,0.007,5.4669
FRONT_TIRE_CHANGE,REAR_TIRE_INSPECTION,73,817,1121,33545,0.0391,0.0894,0.0334,2.6738
VALVE_CLEARANCE_INSPECTION,STEERING_BEARING_INSPECTION,73,2398,925,33518,0.0225,0.0304,0.0276,1.1031
VALVE_CLEARANCE_INSPECTION,FRONT_TIRE_INSPECTION,72,2398,1942,33518,0.0169,0.03,0.0579,0.5182
SPARK_PLUG_INSPECTION,FRONT_TIRE_INSPECTION,72,2095,1942,33518,0.0182,0.0344,0.0579,0.5932
AIR_FILTER_CHANGE,ENGINE_FAULT_DIAGNOSTIC,69,9240,250,33518,0.0073,0.0075,0.0075,1.0012
FORK_INSPECTION,CVT_BELT_CHANGE,69,1964,1985,18363,0.0178,0.0351,0.1081,0.325
CVT_CASE_INSPECTION,REAR_BRAKE_PAD_INSPECTION,68,3467,662,18363,0.0167,0.0196,0.0361,0.5441
BRAKE_FLUID_CHECK,SPARK_PLUG_INSPECTION,68,9793,2095,33518,0.0058,0.0069,0.0625,0.1111
SPARK_PLUG_INSPECTION,REAR_TIRE_INSPECTION,68,2095,1114,33518,0.0216,0.0325,0.0332,0.9766
CHAIN_CLEAN,ENGINE_FAULT_DIAGNOSTIC,68,7454,84,11668,0.0091,0.0091,0.0072,1.2672
SPARK_PLUG_INSPECTION,STEERING_BEARING_INSPECTION,66,2095,925,33518,0.0223,0.0315,0.0276,1.1416
WHEEL_BEARING_INSPECTION,REAR_BRAKE_PAD_INSPECTION,66,2078,1014,33545,0.0218,0.0318,0.0302,1.0507
WHEEL_BEARING_INSPECTION,CVT_BELT_CHANGE,65,1063,1985,18363,0.0218,0.0611,0.1081,0.5657
WHEEL_BEARING_INSPECTION,STEERING_BEARING_INSPECTION,65,2078,925,33545,0.0221,0.0313,0.0276,1.1344
CVT_CASE_INSPECTION,REAR_TIRE_INSPECTION,63,3467,711,18363,0.0153,0.0182,0.0387,0.4693
BATTERY_TEST,REAR_TIRE_INSPECTION,63,11153,1121,33545,0.0052,0.0056,0.0334,0.169
BRAKE_FLUID_CHECK,WHEEL_BEARING_INSPECTION,63,9793,2078,33545,0.0053,0.0064,0.0619,0.1039
STEERING_BEARING_INSPECTION,ECU_DIAGNOSTIC_SCAN,61,925,523,33545,0.044,0.0659,0.0156,4.2297
CVT_CASE_INSPECTION,STEERING_BEARING_INSPECTION,61,3467,610,18363,0.0152,0.0176,0.0332,0.5297
WHEEL_BEARING_INSPECTION,FRONT_TIRE_INSPECTION,60,2078,1950,33545,0.0151,0.0289,0.0581,0.4967
VALVE_CLEARANCE_INSPECTION,REAR_BRAKE_PAD_INSPECTION,60,2398,1007,33518,0.0179,0.025,0.03,0.8328
CHAIN_INSPECTION,STEERING_BEARING_INSPECTION,59,3764,178,11668,0.0152,0.0157,0.0153,1.0275
BRAKE_FLUID_CHANGE,SPARK_PLUG_INSPECTION,58,3637,2095,33518,0.0102,0.0159,0.0625,0.2551
ECU_DIAGNOSTIC_SCAN,ABS_DIAGNOSTIC,58,523,358,33545,0.0705,0.1109,0.0107,10.3913
BRAKE_FLUID_CHECK,VALVE_CLEARANCE_INSPECTION,58,9793,2398,33518,0.0048,0.0059,0.0715,0.0828
CVT_BELT_INSPECTION,FRONT_TIRE_INSPECTION,57,3544,1117,18363,0.0124,0.0161,0.0608,0.2644
SPARK_PLUG_CHANGE,COOLANT_CHANGE,56,148,598,8042,0.0812,0.3784,0.0744,5.0885
REAR_BRAKE_PAD_INSPECTION,STEERING_BEARING_INSPECTION,55,1014,925,33545,0.0292,0.0542,0.0276,1.967
SPARK_PLUG_CHANGE,REAR_BRAKE_PAD_INSPECTION,54,1570,1007,33518,0.0214,0.0344,0.03,1.1448
CHAIN_LUBRICATE,ENGINE_FAULT_DIAGNOSTIC,54,5969,84,11668,0.009,0.009,0.0072,1.2566
FRONT_BRAKE_PAD_INSPECTION,VALVE_CLEARANCE_INSPECTION,53,2649,2398,33518,0.0106,0.02,0.0715,0.2797
CVT_ROLLER_INSPECTION,FRONT_TIRE_INSPECTION,53,2538,1117,18363,0.0147,0.0209,0.0608,0.3433
GENERAL_SAFETY_INSPECTION,COOLANT_CHANGE,53,2171,598,8042,0.0195,0.0244,0.0744,0.3283
WHEEL_BEARING_INSPECTION,REAR_TIRE_INSPECTION,52,2078,1121,33545,0.0165,0.025,0.0334,0.7488
WHEEL_BEARING_INSPECTION,ECU_DIAGNOSTIC_SCAN,51,2078,523,33545,0.02,0.0245,0.0156,1.5742
FORK_INSPECTION,WHEEL_BEARING_INSPECTION,51,3609,2078,33545,0.009,0.0141,0.0619,0.2281
BATTERY_TEST,FUEL_SYSTEM_DIAGNOSTIC,51,11153,495,33518,0.0044,0.0046,0.0148,0.3096
FORK_INSPECTION,ECU_DIAGNOSTIC_SCAN,51,3609,523,33545,0.0125,0.0141,0.0156,0.9064
ENGINE_COMPRESSION_TEST,ECU_DIAGNOSTIC_SCAN,50,399,523,33518,0.0573,0.1253,0.0156,8.0311
FORK_INSPECTION,VALVE_CLEARANCE_INSPECTION,50,3609,2398,33518,0.0084,0.0139,0.0715,0.1936
VALVE_CLEARANCE_INSPECTION,REAR_TIRE_INSPECTION,50,2398,1114,33518,0.0144,0.0209,0.0332,0.6274
AIR_FILTER_INSPECTION,FUEL_SYSTEM_DIAGNOSTIC,50,11089,495,33518,0.0043,0.0045,0.0148,0.3053
CHAIN_INSPECTION,REAR_TIRE_INSPECTION,50,3764,217,11668,0.0127,0.0133,0.0186,0.7143
