model,label,support,applicable_rows,prevalence,threshold,pr_auc,roc_auc,precision,recall,f1,brier
logreg,ENGINE_COMPRESSION_TEST,121,5349,0.0226,0.06,0.0771,0.7337,0.1126,0.3388,0.1691,0.023
logreg,ECU_DIAGNOSTIC_SCAN,70,5354,0.0131,0.06,0.0326,0.6915,0.0592,0.1429,0.0837,0.0131
logreg,ABS_DIAGNOSTIC,105,5354,0.0196,0.14,0.0593,0.6889,0.0972,0.1333,0.1124,0.0206
logreg,WHEEL_BALANCE,34,5354,0.0064,0.06,0.0087,0.5844,0.025,0.0294,0.027,0.0065
logreg,FORK_SEAL_CHANGE,29,5354,0.0054,0.02,0.011,0.6892,0.0132,0.2414,0.0251,0.0056
logreg,ENGINE_FAULT_DIAGNOSTIC,28,5349,0.0052,0.02,0.0082,0.6532,0.0103,0.1071,0.0189,0.0055
logreg,BATTERY_CHANGE,36,5354,0.0067,0.06,0.031,0.6761,0.0638,0.0833,0.0723,0.0067
logreg,WHEEL_BEARING_CHANGE,39,5354,0.0073,0.01,0.0122,0.6832,0.0127,0.2564,0.0243,0.0078
logreg,STEERING_BEARING_CHANGE,36,5354,0.0067,0.11,0.0102,0.6185,0.0312,0.0278,0.0294,0.0072
logreg,BRAKE_DISC_CHANGE,34,5354,0.0064,0.01,0.0132,0.7097,0.0155,0.4118,0.0298,0.0066
logreg,VALVE_CLEARANCE_ADJUST,28,5349,0.0052,0.01,0.0071,0.6219,0.0071,0.25,0.0137,0.006
logreg,BRAKE_SYSTEM_BLEED,32,5354,0.006,0.06,0.0076,0.5772,0.0118,0.0312,0.0171,0.0065
logreg,REAR_TIRE_CHANGE,32,5354,0.006,0.13,0.0105,0.5711,0.0667,0.0312,0.0426,0.0062
logreg,THROTTLE_BODY_CLEAN,31,5349,0.0058,0.03,0.0126,0.6523,0.0287,0.1935,0.05,0.0063
logreg,FUEL_INJECTOR_CLEAN,31,5349,0.0058,0.87,0.0385,0.5411,1.0,0.0323,0.0625,0.006
xgboost,ENGINE_OIL_CHANGE,4402,5349,0.823,0.51,0.9154,0.73,0.8344,0.9889,0.9051,0.1331
xgboost,BATTERY_TEST,1262,5354,0.2357,0.25,0.397,0.7327,0.3426,0.8962,0.4957,0.1582
xgboost,AIR_FILTER_INSPECTION,1251,5349,0.2339,0.27,0.381,0.7208,0.337,0.8361,0.4804,0.1598
xgboost,BRAKE_FLUID_CHECK,1091,5354,0.2038,0.24,0.3426,0.7275,0.3031,0.8323,0.4443,0.1462
xgboost,AIR_FILTER_CHANGE,1054,5349,0.197,0.19,0.3409,0.7233,0.2884,0.8719,0.4335,0.143
xgboost,GENERAL_SAFETY_INSPECTION,1048,5354,0.1957,0.19,0.3115,0.7011,0.2766,0.8454,0.4168,0.1462
xgboost,CHAIN_CLEAN,853,1858,0.4591,0.37,0.7023,0.7998,0.6381,0.9672,0.7689,0.1734
xgboost,CHAIN_LUBRICATE,698,1858,0.3757,0.26,0.5768,0.7581,0.5194,0.9771,0.6783,0.1864
xgboost,CHAIN_INSPECTION,403,1858,0.2169,0.23,0.3743,0.7421,0.3469,0.7816,0.4805,0.1538
xgboost,BRAKE_FLUID_CHANGE,408,5354,0.0762,0.14,0.2136,0.7801,0.2004,0.4657,0.2802,0.065
xgboost,FORK_INSPECTION,413,5354,0.0771,0.18,0.1726,0.7285,0.2262,0.276,0.2486,0.0681
xgboost,CVT_BELT_INSPECTION,388,2980,0.1302,0.14,0.2409,0.7104,0.1993,0.7191,0.3121,0.1073
xgboost,CVT_CASE_INSPECTION,419,2980,0.1406,0.18,0.2244,0.6953,0.2265,0.6277,0.3329,0.1155
xgboost,FRONT_BRAKE_PAD_INSPECTION,299,5354,0.0558,0.12,0.1181,0.7228,0.141,0.3211,0.1959,0.0518
xgboost,CVT_ROLLER_INSPECTION,288,2980,0.0966,0.14,0.1474,0.6684,0.1528,0.4896,0.2329,0.0867
xgboost,VALVE_CLEARANCE_INSPECTION,277,5349,0.0518,0.05,0.0968,0.6931,0.0833,0.722,0.1494,0.0484
xgboost,WHEEL_BEARING_INSPECTION,240,5354,0.0448,0.11,0.0871,0.6864,0.114,0.2167,0.1494,0.0425
xgboost,SPARK_PLUG_INSPECTION,211,5349,0.0394,0.11,0.1053,0.7695,0.1229,0.3744,0.185,0.0369
xgboost,CVT_BELT_CHANGE,239,2980,0.0802,0.14,0.1687,0.7318,0.1951,0.364,0.254,0.0707
xgboost,FRONT_TIRE_INSPECTION,213,5354,0.0398,0.07,0.0873,0.7314,0.0921,0.4319,0.1518,0.0378
xgboost,COOLANT_LEVEL_CHECK,220,1519,0.1448,0.06,0.2243,0.6823,0.2048,0.9318,0.3358,0.1246
xgboost,FINAL_GEAR_OIL_CHANGE,168,2980,0.0564,0.1,0.0908,0.6834,0.1012,0.3512,0.1571,0.0536
xgboost,SPARK_PLUG_CHANGE,172,5349,0.0322,0.07,0.0857,0.7737,0.0969,0.3953,0.1556,0.0304
xgboost,FRONT_TIRE_CHANGE,352,5354,0.0657,0.06,0.2292,0.8294,0.2377,0.6165,0.3431,0.0575
xgboost,REAR_TIRE_INSPECTION,136,5354,0.0254,0.03,0.0611,0.667,0.0403,0.4412,0.0739,0.0247
xgboost,REAR_BRAKE_PAD_INSPECTION,133,5354,0.0248,0.03,0.0459,0.6725,0.0422,0.3684,0.0758,0.0244
xgboost,STEERING_BEARING_INSPECTION,128,5354,0.0239,0.04,0.0387,0.6706,0.0473,0.2656,0.0803,0.0235
xgboost,FUEL_SYSTEM_DIAGNOSTIC,131,5349,0.0245,0.05,0.0622,0.6496,0.0988,0.1221,0.1092,0.0238
xgboost,COOLANT_CHANGE,96,1519,0.0632,0.09,0.1329,0.6921,0.1498,0.3229,0.2046,0.0586
xgboost,ENGINE_COMPRESSION_TEST,121,5349,0.0226,0.05,0.0797,0.7199,0.139,0.2562,0.1802,0.0219
xgboost,ECU_DIAGNOSTIC_SCAN,70,5354,0.0131,0.05,0.0265,0.6799,0.0377,0.0857,0.0524,0.013
xgboost,ABS_DIAGNOSTIC,105,5354,0.0196,0.03,0.0433,0.6681,0.0667,0.1905,0.0988,0.0192
xgboost,WHEEL_BALANCE,34,5354,0.0064,0.01,0.0101,0.6647,0.0112,0.1765,0.0211,0.0064
xgboost,FORK_SEAL_CHANGE,29,5354,0.0054,0.03,0.0127,0.7096,0.0195,0.1034,0.0328,0.0054
xgboost,ENGINE_FAULT_DIAGNOSTIC,28,5349,0.0052,0.08,0.0153,0.7351,0.1111,0.0357,0.0541,0.0052
xgboost,BATTERY_CHANGE,36,5354,0.0067,0.02,0.0144,0.7089,0.0156,0.0833,0.0263,0.0067
xgboost,WHEEL_BEARING_CHANGE,39,5354,0.0073,0.01,0.0127,0.6655,0.0119,0.1538,0.022,0.0073
xgboost,STEERING_BEARING_CHANGE,36,5354,0.0067,0.01,0.0127,0.6793,0.0158,0.2222,0.0296,0.0067
xgboost,BRAKE_DISC_CHANGE,34,5354,0.0064,0.02,0.0098,0.6257,0.021,0.0882,0.0339,0.0064
xgboost,VALVE_CLEARANCE_ADJUST,28,5349,0.0052,0.01,0.0071,0.5885,0.0061,0.1071,0.0116,0.0053
xgboost,BRAKE_SYSTEM_BLEED,32,5354,0.006,0.02,0.0133,0.6692,0.0198,0.125,0.0342,0.006
xgboost,REAR_TIRE_CHANGE,32,5354,0.006,0.01,0.0097,0.6208,0.0136,0.1562,0.0251,0.006
xgboost,THROTTLE_BODY_CLEAN,31,5349,0.0058,0.01,0.0071,0.567,0.0056,0.0968,0.0107,0.0058
xgboost,FUEL_INJECTOR_CLEAN,31,5349,0.0058,0.04,0.0114,0.5776,0.0517,0.0968,0.0674,0.0058
